學校代碼,學校名稱,lat,lng
1050,佛光大學,24.8164113,121.7236181
1051,台南應用科技大學,23.0387,120.2394972
1052,遠東科技大學,23.0646068,120.2943546
15,國立彰化師範大學,24.0812771,120.5587377
17,國立臺北大學,24.9438411,121.370802
18,國立嘉義大學,23.4681944,120.484174
19,國立高雄大學,22.7341433,120.2849143
20,國立東華大學,23.8975385,121.5418018
21,國立暨南國際大學,23.9511431,120.9306649
22,國立臺灣科技大學,25.0132583,121.5405609
400144,國立臺灣戲曲學院附設高職部,25.0819234,121.586525
140222,國立臺東專科學校附設高職部,22.7579117,121.1243815
10301,國立華僑高級中等學校,25.0075,121.4477778
11301,私立淡江高中,25.1762507,121.437164
11302,私立康橋高中,24.9120394,121.4958652
11306,私立金陵女中,25.04299,121.466942
11307,新北市裕德高級中等學校,24.9830118,121.4394801
11309,財團法人南山高中,25.0016594,121.5036507
11310,財團法人恆毅高中,25.0366541,121.4537324
11311,私立聖心女中,25.13562,121.449122
11312,私立崇義高中,25.077429,121.669969
11314,財團法人中華高中,24.975578,121.4374135
11315,私立東海高中,25.0647366,121.4788449
11316,私立格致高中,25.0738323,121.4886747
11317,私立醒吾高中,25.079564,121.395793
11318,私立徐匯高中,25.080107,121.480124
11322,新北市崇光高中,24.9718753,121.538946
11323,私立光仁高中,25.0183052,121.4764718
11324,私立竹林高中,24.9799565,121.5057743
11325,私立及人高中,24.966799,121.51489
11329,財團法人辭修高中,24.932696,121.407931
11330,新北市林口康橋國際高中,25.0741868,121.389928
11399,私立時雨高中,25.1095045,121.8552909
13303,市立泰山高中,25.057789,121.429729
13304,市立板橋高中,25.012041,121.4590137
13335,市立新店高中,24.975506,121.532082
13336,市立中和高中,24.994112,121.478471
13337,市立新莊高中,22.6813675,120.3175826
13338,市立新北高中,25.0874536,121.489796
13339,市立林口高中,25.0732029,121.3805242
14302,市立海山高中,25.0096689,121.4712073
14311,市立三重高中,25.054741,121.4914967
14315,市立永平高中,25.0105828,121.5083843
14322,市立樹林高中,24.9829633,121.4223883
14326,市立明德高中,24.9038379,121.365725
14332,市立秀峰高中,25.0657829,121.6608704
14338,市立金山高中,25.224676,121.637008
14343,市立安康高中,24.9694528,121.5153
14347,市立雙溪高中,25.0349052,121.8632554
14348,市立石碇高中,25.0141303,121.6429468
14353,市立丹鳳高中,25.021049,121.416544
14356,市立清水高中,24.2652825,120.5740941
14357,市立三民高中,25.0868693,121.4737065
14362,市立錦和高中,24.992544,121.491084
14363,市立光復高中,25.0167462,121.4822165
14364,市立竹圍高中,25.1459534,121.461587
14381,市立北大高級中學,24.948248,121.3764596
14399,市立豐珠中學,25.0656443,121.9018436
20301,國立蘭陽女中,24.7453914,121.753373
20302,國立宜蘭高中,24.751424,121.7417203
20308,國立羅東高中,24.6807286,121.761905
21301,私立慧燈高中,24.777028,121.7155386
21310,私立中道高中,24.7597787,121.7937987
24322,縣立南澳高中,24.465902,121.801868
24325,縣立慈心華德福實中,24.6268113,121.795708
30305,國立中央大學附屬中壢高中,24.962072,121.211168
31301,桃園市懷恩高中,24.8481274,121.2453129
31309,桃園市育達高中,24.95191,121.209124
31310,私立六和高中,24.9453453,121.1858942
31311,桃園市復旦高中,24.948372,121.203082
31312,桃園市治平高中,24.9158677,121.1886835
31313,桃園市振聲高中,24.9905152,121.3022615
31317,私立光啟高中,25.0201005,121.4031147
31318,桃園市啟英高中,24.9750491,121.2357616
31319,桃園市清華高中,24.9816339,121.1083826
31320,桃園市新興高中,24.975174,121.271855
31323,私立至善高中,24.867158,121.284486
31324,桃園市大興高中,25.061988,121.192613
31326,私立大華高中,24.882732,121.1744393
33302,市立龍潭高中,24.8612862,121.2129579
33304,市立桃園高中,24.9994003,121.3273196
33306,市立武陵高中,24.987672,121.2857263
33316,市立楊梅高中,24.921386,121.148215
33325,市立陽明高中,25.0922121,121.5172424
33327,市立內壢高中,24.9779218,121.2558058
34306,市立南崁高中,25.0524424,121.2970629
34312,市立大溪高中,24.868745,121.2858825
34314,市立壽山高中,24.9945839,121.3412207
34319,市立平鎮高中,24.939725,121.21896
34332,市立觀音高中,25.0147432,121.1327739
34335,市立新屋高級中等學校,24.970544,121.1017254
34347,市立永豐高中,24.9749506,121.2701309
34348,市立羅浮高中,24.9936281,121.3009798
34399,市立大園國際高中,25.0211,121.2210422
40302,國立竹東高中,24.732995,121.088225
40304,國立關西高中,24.788416,121.1855991
40308,國立竹北高中,24.8369051,121.0041358
41303,私立義民高中,24.8391368,121.0040633
41305,私立忠信高中,24.881078,121.001876
41306,私立東泰高中,24.7115674,121.0983352
41307,私立仰德高中,24.8815898,121.0051968
44311,縣立六家高級中學,24.8210147,121.0318342
140301,國立臺東大學附屬體育高中,22.7644294,121.075238
140302,國立臺東女中,22.760901,121.15348
140303,國立臺東高中,22.7477668,121.1465661
141301,臺東縣均一高中,22.7703313,121.1261014
141307,私立育仁高中,22.77419,121.092785
144322,縣立蘭嶼高中,22.0498373,121.5118562
150303,國立花蓮高中,23.9867344,121.6258141
150309,國立玉里高中,23.345486,121.318262
151306,私立海星高中,24.0073437,121.613781
151307,私立四維高中,24.0003499,121.5914759
151312,財團法人慈濟大學附中,23.999868,121.5741826
154301,花蓮縣立體育高中,24.0031924,121.5837156
160302,國立馬公高中,23.5710333,119.5806143
170301,國立基隆女中,25.1286152,121.7591702
170302,國立基隆高中,25.1075761,121.7328491
171306,私立二信高中,25.143902,121.771516
173304,市立中山高中,22.728652,120.2927492
173307,市立暖暖高中,25.1081244,121.737743
173314,市立八斗高中,25.140237,121.7882919
180301,國立竹科實驗高級中等學校,24.777184,121.016432
180302,國立新竹女中,24.8047857,120.9755859
180309,國立新竹高中,24.795089,120.9804127
181305,私立光復高中,24.798387,120.994056
181306,私立曙光女中,24.811149,120.9728262
181307,私立磐石高中,24.8108193,120.9570734
181308,私立世界高中,24.7807043,121.0198068
183306,市立成德高中,24.7909191,120.953335
183307,市立香山高中,24.785165,120.930349
183313,市立建功高中,24.7978951,121.0023113
191301,私立東大附中,24.182282,120.6055347
191302,私立葳格高中,24.1785854,120.711852
191305,私立新民高中,24.1586929,120.685906
191308,私立宜寧高中,24.1938884,120.606577
191309,私立明德高中,24.120318,120.683671
191311,私立衛道高中,24.1830032,120.6750442
191313,私立曉明女中,24.168102,120.673388
191314,私立嶺東高中,24.138096,120.610281
191315,私立磊川華德福實驗教育學校,24.1804983,120.713242
193301,市立臺中女中,24.136043,120.677765
193302,市立臺中一中,24.1498345,120.6863244
193303,市立忠明高中,24.1589341,120.6636692
193313,市立西苑高中,24.186534,120.64181
193315,市立東山高中,24.1663557,120.712095
193316,市立惠文高中,24.1516147,120.6397871
194303,市立臺中二中,24.1529906,120.6749422
194315,市立文華高中,24.1702094,120.6599389
200302,國立嘉義女中,23.473657,120.450995
200303,國立嘉義高中,23.47709,120.4648722
201304,私立興華高中,23.4895018,120.4647954
201309,私立仁義高中,23.4594591,120.4865167
201310,私立嘉華高中,23.4835895,120.4767061
201312,私立輔仁高中,23.460557,120.456993
201313,私立宏仁女中,23.506283,120.445669
201314,私立立仁高中,23.4631749,120.4594794
210303,國立臺南二中,23.0055481,120.212765
210305,國立臺南一中,22.9942111,120.2158889
210306,國立臺南女中,22.9872458,120.2065307
210309,國立家齊高中,22.981624,120.200817
211301,私立長榮高中,22.9894128,120.2229561
211302,私立長榮女中,22.9911165,120.2211482
211304,財團法人聖功女中,23.014844,120.221297
211310,臺南市光華高中,22.988612,120.21739
171308,輔大聖心高中,25.1353145,121.7338675
211314,私立六信高中,22.9742224,120.202586
211315,私立瀛海高中,23.0350309,120.2113593
211317,臺南市崑山高中,23.0110042,120.2263303
211318,私立德光高中,22.9798586,120.2214007
211320,財團法人慈濟高中,23.999868,121.5741826
213303,市立南寧高中,22.935473,120.186614
213316,市立土城高中,23.0574603,120.1505744
313301,市立西松高中,25.0553554,121.5671134
313302,市立中崙高中,25.0487115,121.5611909
321399,臺北市私立協和祐德高級中學,25.04252,121.5835426
323301,市立松山高中,25.0434938,121.5654685
323302,市立永春高中,25.032802,121.5785567
330301,國立師大附中,25.0336592,121.5404218
331301,私立延平中學,25.0363216,121.5384679
331302,私立金甌女中,25.034768,121.5241819
331304,私立復興實驗高中,25.0394418,121.5484403
333301,市立和平高中,25.0196314,121.5491522
333304,市立芳和實中,25.0329636,121.5654268
341302,私立大同高中,25.0665289,121.5212887
343301,市立中山女中,25.0485108,121.5372111
343302,市立大同高中,25.0550217,121.5352723
343303,市立大直高中,25.07886,121.543375
351301,私立強恕中學,25.0250348,121.5199538
353301,市立建國中學,25.0311123,121.5121811
353302,市立成功中學,25.0423722,121.5236574
353303,市立北一女中,25.0385655,121.513098
361301,臺北市靜修高中,25.057931,121.5154866
363301,市立明倫高中,25.0762461,121.5193385
363302,市立成淵高中,25.0614213,121.5185204
373301,市立華江高中,25.0279587,121.4971355
373302,市立大理高中,25.0308614,121.4912045
380301,國立政大附中,24.9871265,121.5858355
381301,私立東山高中,24.9733741,121.5615447
381302,私立滬江高中,24.9894519,121.5389166
381303,私立大誠高中,24.9909268,121.5781913
381304,私立再興中學,24.9901829,121.5582292
381305,私立景文高中,24.9853665,121.5673971
381306,臺北市靜心高中,24.9988631,121.5467337
383301,市立景美女中,24.9807371,121.5561748
383302,市立萬芳高中,25.0006248,121.5589135
393301,市立南港高中,25.052412,121.595026
393302,市立育成高中,25.0580409,121.6092336
401301,私立文德女中,25.0776217,121.5895146
401302,私立方濟中學,25.0773094,121.5905296
401303,私立達人女中,25.0812081,121.5876596
403301,市立內湖高中,25.0783868,121.5866053
403302,市立麗山高中,25.0851252,121.5780273
403303,市立南湖高中,25.0664602,121.6105269
411301,私立泰北高中,25.097375,121.533898
411302,私立衛理女中,25.1017466,121.5523894
411303,私立華興中學,25.1050855,121.5385223
413301,市立陽明高中,25.0922121,121.5172424
413302,市立百齡高中,25.0870549,121.5229998
421301,私立薇閣高中,25.1395247,121.5039712
421302,臺北市幼華高中,25.1334354,121.4968537
421303,臺北市私立奎山實驗高級中學,25.112998,121.5223028
423301,市立復興高中,25.143626,121.501768
423302,市立中正高中,25.1041727,121.5166212
521301,天主教明誠高中,22.666246,120.292014
521303,私立大榮高中,22.6535429,120.2801989
523301,市立鼓山高中,22.6520055,120.2747089
533301,市立左營高中,22.6933029,120.2961624
533302,市立新莊高中,22.6813675,120.3175826
540301,國立中山大學附屬國光高中,22.7082782,120.3050243
543301,市立中山高中,22.728652,120.2927492
543302,市立楠梓高中,22.7439985,120.3316666
551301,私立立志高中,22.6533576,120.3264762
551303,南海月光實驗學校,22.6080409,120.4270968
553301,市立高雄中學,22.6383194,120.2980028
553302,市立三民高中,25.0868693,121.4737065
