"","Estimate","Std. Error","t value","Pr(>|t|)"
"是否為店面TRUE:週數差-315",74.7397144349227,121.505928243794,0.615111669983397,0.538483126488237
"是否為店面TRUE:週數差-314",-9.58149102688991,112.895512084224,-0.084870433288276,0.932364658841075
"是否為店面TRUE:週數差-313",172.387106367754,110.919798791211,1.55415992677957,0.120151136387238
"是否為店面TRUE:週數差-312",97.7872760062003,117.913561726255,0.829313223810683,0.406930231779026
"是否為店面TRUE:週數差-311",388.680421866526,109.042345842795,3.56449064684358,0.000364824340271242
"是否為店面TRUE:週數差-310",730.233914589057,107.761292804556,6.77640269139554,1.2424996255715e-11
"是否為店面TRUE:週數差-309",131.130795011652,108.944892936817,1.20364334184717,0.2287318380208
"是否為店面TRUE:週數差-308",538.873424056987,115.266199250177,4.67503420397685,2.94492947200309e-06
"是否為店面TRUE:週數差-307",192.073473787282,132.294307788224,1.45186498949563,0.146543969724782
"是否為店面TRUE:週數差-306",114.598574288116,141.373603068384,0.810608004612315,0.417593782826179
"是否為店面TRUE:週數差-305",22.9565976142439,126.077150147195,0.182083728791793,0.855517584948049
"是否為店面TRUE:週數差-304",-41.4603975913132,121.235710390485,-0.341981726817739,0.73236574828267
"是否為店面TRUE:週數差-303",39.8184958386975,110.271608381043,0.361094722597179,0.718029810387256
"是否為店面TRUE:週數差-302",431.51417304914,112.604877194744,3.83210908620645,0.000127168691732209
"是否為店面TRUE:週數差-301",163.861909022145,108.925588846039,1.50434724069985,0.132496834195849
"是否為店面TRUE:週數差-300",-21.3574517776308,126.421648613766,-0.168938247616756,0.865845739352864
"是否為店面TRUE:週數差-299",-41.3941300171199,109.298911468288,-0.378724082985309,0.704894003107138
"是否為店面TRUE:週數差-298",406.901503024924,112.922415040749,3.60337230547265,0.000314349196492016
"是否為店面TRUE:週數差-297",-34.765276821646,132.840294303795,-0.261707315569029,0.793547928298422
"是否為店面TRUE:週數差-296",529.703077202502,117.708167556712,4.50013867514579,6.80265920214899e-06
"是否為店面TRUE:週數差-295",669.997760458521,115.385013511673,5.80662722192028,6.4039119175007e-09
"是否為店面TRUE:週數差-294",25.1518664060266,121.994850873171,0.206171541060984,0.836657562167815
"是否為店面TRUE:週數差-293",66.9680568412452,132.900081823736,0.503897784879203,0.614334913017687
"是否為店面TRUE:週數差-292",115.6565057338,115.095300997972,1.00487600041845,0.314960298313688
"是否為店面TRUE:週數差-291",98.7953526413862,107.542904362331,0.91865988953141,0.358276900675399
