"coef","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %"
"週數差-431",-109.807105412516,74.0996023777479,-1.48188521785498,0.138375714588926,-255.042377374926,35.4281665498937
"週數差-430",-51.0570814884415,29.6487792003725,-1.72206353399536,0.0850627947685178,-109.168709248169,7.05454627128657
"週數差-429",-28.6405314531552,25.2570975565248,-1.13395972712456,0.256815647758939,-78.1444601504106,20.8633972441001
"週數差-428",-39.5486328624919,28.2798207714081,-1.3984753716147,0.161975161847971,-94.9771011536668,15.8798354286829
"週數差-427",-38.6448893541352,27.4641046371007,-1.4071053786305,0.15940095250127,-92.4745534573158,15.1847747490454
"週數差-426",-76.1174700278757,28.3694132307661,-2.68308228332786,0.0072965603270439,-131.721539601421,-20.5134004543308
"週數差-425",-31.3129408836541,27.3857631013054,-1.14340216731669,0.252875888400879,-84.989055522437,22.3631737551287
"週數差-424",-41.654549620875,28.3769337204291,-1.46790171310465,0.142135789443502,-97.273359359366,13.9642601176161
"週數差-423",-2.68781882756057,28.5553281135641,-0.0941267008689641,0.925008802111888,-58.6562817001055,53.2806440449844
"週數差-422",-86.4052803886334,28.5518506142973,-3.02625849216814,0.00247697927757178,-142.366927360208,-30.4436334170588
"週數差-421",-22.4619507657555,28.6329977012118,-0.784477790280576,0.432762684340793,-78.5826460838637,33.6587445523528
"週數差-420",-66.3068754226043,27.3806032109493,-2.42167328863261,0.0154519668432114,-119.972876672717,-12.6408741724918
"週數差-419",-29.8868762130253,28.2226839274451,-1.05896647851985,0.289619004251329,-85.2033562504746,25.4296038244241
"週數差-418",-58.2158976188645,28.3745823111792,-2.05169179163311,0.0402036457172469,-113.830098593598,-2.60169664413115
"週數差-417",-49.8109357083333,29.5285028035479,-1.68687644069609,0.0916319392376552,-107.686821647013,8.06495023034648
"週數差-416",-73.2710300329595,29.6348876479177,-2.47245850578104,0.0134212831043336,-131.355430340258,-15.1866297256606
"週數差-415",-60.0071331715594,29.5134906616747,-2.03321029895941,0.0420353588249602,-117.853595301774,-2.16067104134461
"週數差-414",-40.2069041345438,29.1218379562049,-1.38064445640448,0.167393081845161,-97.2857266908815,16.8719184217939
"週數差-413",-49.431605619018,27.9053159632386,-1.77140461997052,0.0764981526212196,-104.126044226896,5.26283298886045
"週數差-412",-21.425322518294,27.8730161292328,-0.768676142508434,0.442088400125601,-76.0564534291587,33.2058083925707
"週數差-411",2.39712030745471,26.6533253324693,0.0899370070170762,0.928337551659883,-49.8434157973144,54.6376564122238
"週數差-410",-32.5242926467585,28.2076708327046,-1.15303006900694,0.248902307355085,-87.8113470081223,22.7627617146053
"週數差-409",-84.1445849062132,28.8122668613872,-2.92044306374864,0.00349654828321279,-140.61664790238,-27.6725219100462
"週數差-408",-33.9522731597234,26.9727290515197,-1.25876299335052,0.208120497631308,-86.8188407749667,18.9142944555199
"週數差-407",-86.9674954523391,26.1205768818105,-3.32946304539317,0.000870622537324244,-138.163844224974,-35.7711466797037
"週數差-406",-73.862544150681,30.7466600947443,-2.40229488090991,0.0162953717559924,-134.126019223483,-13.5990690778789
"週數差-405",-65.510105049714,28.6379973653061,-2.28752395686289,0.0221684741884062,-121.640599712908,-9.3796103865195
"週數差-404",-88.389889003912,30.8759036124696,-2.8627466296473,0.0042012123739301,-148.906681460936,-27.873096546888
"週數差-403",-85.4607103261454,29.7542544633352,-2.872218170731,0.00407734035584824,-143.779069674305,-27.1423509779859
"週數差-402",56.7141612418588,28.5447213670624,1.98685285845182,0.0469429202287801,0.766487599800563,112.661834883917
"週數差-401",-13.6439647007568,27.3252267404786,-0.499317529195288,0.617557407742907,-67.2014280304074,39.9134986288939
"週數差-400",-70.48045534003,29.0140369372116,-2.4291847250541,0.0151355268378204,-127.347987824506,-13.6129228555539
"週數差-399",-71.0120488911311,28.365962203668,-2.5034246461045,0.012302233092683,-126.609354449174,-15.4147433330878
"週數差-398",-20.0423512500082,27.1843929540454,-0.737274188314206,0.460958302229548,-73.3237802607451,33.2390777607286
"週數差-397",-13.8335704846291,28.6385886188172,-0.48303953343356,0.629069302510655,-69.9652240051148,42.2980830358565
"週數差-396",-48.3982798902098,28.5446538436316,-1.69552870233904,0.0899799869764759,-104.345821186297,7.54926140587724
"週數差-395",-75.1769159765675,29.3356307719794,-2.56264869710504,0.010389953772682,-132.67477259984,-17.6790593532947
"週數差-394",-56.0113612618832,26.2841611285638,-2.13099291957292,0.0330934887034135,-107.528335271411,-4.49438725235562
"週數差-393",-27.7194863308335,29.3306043302431,-0.945070412417369,0.344626462701342,-85.2074911248232,29.7685184631561
"週數差-392",-21.5580626428326,27.0638040445645,-0.796564393066627,0.425706989954436,-74.6031373074985,31.4870120218333
"週數差-391",-91.6211982805363,28.9194386106081,-3.16815272641317,0.00153482296853806,-148.303317979375,-34.9390785816973
"週數差-390",-106.548521701283,29.6578324572684,-3.59259301416582,0.000327646696131958,-164.677893850794,-48.4191495517709
"週數差-389",-86.3215616984226,27.8214669366384,-3.10269627029424,0.0019184899066231,-140.851656156113,-31.7914672407324
"週數差-388",-45.9114483045545,29.5624578944342,-1.55303217575824,0.120420344602492,-103.85388624488,12.0309896357709
"週數差-387",50.6559460963493,27.8088223418526,1.82157825576495,0.06852362319409,-3.84936494680636,105.161257139505
"週數差-386",-53.7697947216632,28.289213681303,-1.90071718950608,0.0573435105612138,-109.216673122735,1.67708367940869
"週數差-385",-90.4397007057302,28.2874122148342,-3.19717123711665,0.00138849301328602,-145.883048231276,-34.9963531801843
"週數差-384",-66.8141575849615,29.528275803792,-2.26271787858271,0.0236563902862831,-124.689598603963,-8.93871656596038
"週數差-383",-29.8748573377029,26.874216439306,-1.11165500974414,0.266290646161637,-82.5483401648033,22.7986254893976
"週數差-382",13.369179710161,27.8080824219394,0.480765969666906,0.630684466408528,-41.1346810894526,67.8730405097745
"週數差-381",-51.2525305350736,33.0528119354979,-1.55062542439936,0.120996372297959,-116.036064812391,13.5310037422439
"週數差-380",-78.4313730909902,40.5294893785209,-1.93516805401836,0.0529740339082797,-157.869200333026,1.00645415104576
"週數差-379",-8.69500201387476,27.5910740240578,-0.315138222103759,0.752657726355747,-62.7735262033969,45.3835221756474
"週數差-378",-62.9371232978507,26.8219229476627,-2.34648065392847,0.0189546533397884,-115.508110845126,-10.3661357505759
"週數差-377",-57.6579854799085,25.9162001705955,-2.22478546624776,0.0260990826513406,-108.453755757065,-6.8622152027524
"週數差-376",-24.5881128672818,27.5219147554788,-0.893401243544909,0.371645663723505,-78.5310848425076,29.3548591079441
"週數差-375",-41.3032975834561,27.7304621007858,-1.48945579894558,0.136372264321181,-95.655022499869,13.0484273329567
"週數差-374",-21.5028772792673,27.2509361442382,-0.789069306296611,0.43007439492716,-74.9147309888526,31.908976430318
"週數差-373",-31.311615918734,26.2135584774915,-1.19448170097242,0.232293978393556,-82.6902086832789,20.0669768458109
"週數差-372",-30.2106845929244,25.4120850726739,-1.18883139681484,0.234510388601485,-80.0183889291357,19.5970197432869
"週數差-371",-47.3335861551255,28.6393444587188,-1.65274684353732,0.0983872539748438,-103.466721122341,8.79954881209049
"週數差-370",-85.3047987859898,27.2019376558729,-3.13598243864707,0.00171356229213845,-138.620615424456,-31.9889821475241
"週數差-369",-35.0850896888446,26.8113594803202,-1.30859047690578,0.190677761950203,-87.6353728328147,17.4651934551254
"週數差-368",-43.1869616302392,26.9306849273484,-1.60363398653787,0.108799641352205,-95.9711227329982,9.59719947251977
