"coef","estimate","se","t_value","p_value","lower","upper"
"是否為店面FALSE",436.049510453163,9.98559507061536,43.667854281046,0,416.477046972342,455.621973933984
"是否為店面TRUE",574.463991278407,15.8696869621984,36.1988231177327,6.62233837978296e-279,543.35829689333,605.569685663483
"季數差-6",-24.1947712917364,8.10754861871475,-2.98422771537716,0.00284601521010992,-40.0861326113775,-8.30340997209531
"季數差-5",-12.4051138497909,5.80060944267233,-2.13858801775764,0.0324798244205416,-23.7747133258703,-1.03551437371143
"季數差-4",-28.0624317771977,5.72255904200216,-4.90382564360217,9.46455240461844e-07,-39.2790470188897,-16.8458165355056
"季數差-3",-26.1718551207767,5.86634021876476,-4.46135991858439,8.1837229816627e-06,-37.6702915069789,-14.6734187345745
"季數差-2",-13.3870830280617,5.92072548507874,-2.26105450451967,0.0237654257329433,-24.9921183331363,-1.78204772298708
"季數差0",-12.5701759024816,5.97923837622439,-2.10230385737173,0.0355377909991204,-24.289900559268,-0.850451245695179
"季數差1",-1.53091138901548,5.84765103098222,-0.26179937566458,0.793478525768446,-12.9927156623818,9.93089288435088
"季數差2",-7.65906370265822,5.94269934279859,-1.28881897953319,0.197474326081957,-19.3071693029644,3.98904189764797
"季數差3",0.870755401880554,5.39220290758027,0.161484168308366,0.871713534853921,-9.69833875259413,11.4398495563552
"季數差4",7.55924220098611,5.42226949538696,1.39411038263908,0.163298091884128,-3.06878456468276,18.187268966655
"季數差5",4.43024924799145,5.48334950030548,0.807945808988582,0.419130352146175,-6.31749859160662,15.1779970875895
"季數差6",6.50624860204928,6.77083376618562,0.960922809025719,0.33660134567088,-6.76505828414229,19.7775554882408
"到學校距離",0.205722303222058,0.0239478786964588,8.59041862661839,9.22169960946398e-18,0.158782789060416,0.2526618173837
"到捷運站距離",-0.132136632999689,0.00544507628750592,-24.2671775421926,1.97474959171491e-128,-0.142809362670163,-0.121463903329215
"到醫療機構距離",-0.237558355810894,0.0170594904927206,-13.9252902020879,6.77707969061721e-44,-0.270996148181701,-0.204120563440087
"I(到學校距離^2)",-0.000204610261709459,2.9763458098358e-05,-6.8745459964125,6.38203414705451e-12,-0.00026294871751239,-0.000146271805906528
"I(到捷運站距離^2)",3.42762837638086e-05,1.94093807891911e-06,17.6596482577624,2.52975438276544e-69,3.04719096229054e-05,3.80806579047117e-05
"I(到醫療機構距離^2)",0.000103231043637416,1.19232913218826e-05,8.65793184537539,5.12245622825831e-18,7.98605602242166e-05,0.000126601527050615
"屋齡",-1.83006772238431,0.0938843758734603,-19.4927825355193,6.26486792920825e-84,-2.01408765361609,-1.64604779115254
"房間數",-23.6887660706202,1.14211268757151,-20.7411810834446,1.14096914500599e-94,-25.9273866746398,-21.4501454666006
"衛浴數",14.9330073531801,1.35066409902221,11.0560481795515,2.42597067099513e-28,12.2856114227402,17.5804032836201
"總樓層數",4.15525194800241,0.254667362106568,16.3163897942431,1.66306195753751e-59,3.65608613872023,4.65441775728459
"租賃面積",0.00196485761278595,0.00559279051673542,0.351319722579714,0.72535180208188,-0.00899740225961849,0.0129271174851904
"是否為一樓TRUE",100.581937340408,4.72376032429239,21.2927689881207,1.28469663717714e-99,91.3230373163691,109.840837364447
"土地使用分區住",30.5343164680871,7.07731317961627,4.31439385161456,1.6072611219978e-05,16.6622885347697,44.4063444014046
"土地使用分區其他",71.018030898461,7.87193631483288,9.02167243968217,1.99766624832417e-19,55.5884861436565,86.4475756532656
"土地使用分區商",76.7048979637103,7.15353466320447,10.7226569206767,9.25270645707736e-27,62.6834706011717,90.7263253262489
"土地使用分區農",117.597956184233,120.349999278835,0.977133002816016,0.328513855317057,-118.296444614524,353.49235698299
"有無附傢俱無",-10.5748453577175,3.43728564886794,-3.07651049053786,0.0020969125779125,-17.3121652029405,-3.83752551249444
"有無管理組織無",13.9353647327089,2.68682772569208,5.1865494015324,2.16088320906644e-07,8.66899480998732,19.2017346554305
"是否為店面TRUE:季數差-6",4.43707152476237,28.131426108545,0.157726505142041,0.874673734443303,-50.702487638133,59.5766306876577
"是否為店面TRUE:季數差-5",41.0494846096714,19.9141241961465,2.06132512810253,0.0392835370698063,2.01641088444241,80.0825583349003
"是否為店面TRUE:季數差-4",16.4376910146267,18.1528363553793,0.905516399356272,0.365201607961449,-19.143135578724,52.0185176079775
"是否為店面TRUE:季數差-3",41.0808528061712,19.1797435234049,2.14188749479577,0.032213279879998,3.48721647016233,78.6744891421801
"是否為店面TRUE:季數差-2",10.2656228539163,20.2743978081135,0.506334291704986,0.612626973292894,-29.4736123032014,50.004858011034
"是否為店面TRUE:季數差0",-8.27530451289185,22.7459064116597,-0.363815113063591,0.715999507363588,-52.8588690808619,36.3082600550782
"是否為店面TRUE:季數差1",29.3693376284082,20.2088161192611,1.45329332777768,0.146156327231364,-10.2413528399858,68.9800280968022
"是否為店面TRUE:季數差2",77.2324471391126,20.4625577744061,3.77433007107804,0.000160851538199422,37.1244053117092,117.340488966516
"是否為店面TRUE:季數差3",64.2447380462743,20.1682078488057,3.18544605092805,0.00144728926622366,24.7136426230315,103.775833469517
"是否為店面TRUE:季數差4",71.4147712392709,18.98633064559,3.76137825535333,0.000169409384873393,34.2002376468623,108.629304831679
"是否為店面TRUE:季數差5",-9.01785786572955,20.0169194435095,-0.450511772861912,0.652345824223595,-48.2524174524206,30.2167017209615
"是否為店面TRUE:季數差6",75.2829714883522,26.8220617391191,2.80675558130397,0.00500863729243187,22.7098579025552,127.856085074149
