"coef","estimate","se","t_value","p_value","lower","upper"
"是否為店面FALSE",529.89938685887,24.9955002261343,21.1997912450189,9.40440234238499e-99,480.90640137892,578.89237233882
"是否為店面TRUE",708.682739018766,31.1752254246224,22.7322410460918,4.36403161547691e-113,647.577045884218,769.788432153315
"月數差-17",-11.3395133590995,13.3826065515118,-0.847332193130832,0.396819238659903,-37.5703886178621,14.8913618996631
"月數差-16",-18.4654255186163,9.97836976011197,-1.85054532579369,0.0642484372765284,-38.0237508310898,1.0928997938572
"月數差-15",-6.46600298368456,9.1270568220788,-0.708443379912239,0.478677495013515,-24.3556934605029,11.4236874931338
"月數差-14",-2.95173638665801,9.10673045704186,-0.324126908178725,0.745845048491755,-20.8015857201464,14.8981129468303
"月數差-13",-30.662109608798,9.36444899965152,-3.27431006457924,0.00106084478799896,-49.0171058968084,-12.3071133207875
"月數差-12",-19.1226785328576,8.9336926845489,-2.14051223923685,0.0323243935616411,-36.6333613364292,-1.61199572928596
"月數差-11",-19.6108126462919,9.39564385472335,-2.08722392520585,0.0368794190406118,-38.026953102963,-1.19467218962082
"月數差-10",-21.7950284251838,8.96247712421884,-2.43180854166849,0.0150316002709416,-39.3621308091615,-4.22792604120612
"月數差-9",-26.9768720912892,9.39345315732758,-2.87188019564938,0.00408428807527878,-45.3887186228646,-8.56502555971387
"月數差-8",-18.7075347343851,9.40494490365446,-1.98911688755518,0.0467007115431083,-37.1419059186315,-0.273163550138779
"月數差-7",-16.2873735303399,9.15348371818206,-1.77936335845416,0.0751940619545266,-34.2288626319249,1.6541155712451
"月數差-6",-14.224115756418,9.3453187607383,-1.52205784741946,0.12800901160002,-32.5416153946786,4.09338388184257
"月數差-5",-11.4344884380402,9.55826604267051,-1.19629317566531,0.231595110355853,-30.1693801267624,7.30040325068192
"月數差-4",-3.92392775807771,9.29316915558068,-0.422237849369323,0.672855558647041,-22.1392104042734,14.291354888118
"月數差-3",-2.32216308265379,9.1684115632931,-0.253278669551753,0.800055253311795,-20.2929118386628,15.6485856733552
"月數差-2",-1.99148999420045,8.77769610841632,-0.22688071785613,0.820518611737751,-19.1964082433426,15.2134282549417
"月數差0",-0.637677954008768,10.1047586599779,-0.0631066980881424,0.949682116034887,-20.4437346373265,19.168378729309
"月數差1",-2.4882340852283,9.48477040094071,-0.262339938664357,0.793061838584896,-21.0790690087115,16.1026008382549
"月數差2",-17.3022882107683,9.04194227927815,-1.91355879924392,0.0556895644564251,-35.0251480371961,0.420571615659419
