"coef","estimate","se","t_value","p_value","lower","upper"
"是否為店面FALSE",438.386874729036,11.4646892201348,38.2380077044846,5.99329665995821e-310,415.915280848787,460.858468609285
"是否為店面TRUE",579.999316215801,23.5597740108276,24.6182037208526,4.60927957778378e-132,533.820508982896,626.178123448705
"月數差-17",-15.6122750234779,14.6268374569785,-1.06737188195314,0.285815459513133,-44.2819009308579,13.0573508839021
"月數差-16",-31.6324684530691,10.9203615520507,-2.89665028967185,0.00377535477965358,-53.0371419781214,-10.2277949280168
"月數差-15",-11.4891962360963,9.98687908893143,-1.15042909138951,0.249979481984521,-31.0641787505356,8.08578627834304
"月數差-14",-1.43855790579958,9.96470152040376,-0.144365378416402,0.88521325495054,-20.9700708325653,18.0929550209661
"月數差-13",-34.0667551529837,10.2363843369819,-3.32800665073778,0.000876108684713737,-54.1307854294272,-14.0027248765402
"月數差-12",-25.329863485743,9.7766118604231,-2.59086315866556,0.0095797683609068,-44.4927075047867,-6.16701946669932
"月數差-11",-29.6483399078144,10.2777632691757,-2.88470741457273,0.00392151634493929,-49.7934757896173,-9.50320402601137
"月數差-10",-37.0234087869991,9.78393033296622,-3.78410388535285,0.00015466554182505,-56.2005975248271,-17.846220049171
"月數差-9",-33.7841074198937,10.2832589497647,-3.2853502556859,0.00102012296947942,-53.9400152205792,-13.6281996192083
"月數差-8",-23.9751774952028,10.2669029773343,-2.33519081149706,0.0195422497631076,-44.099026444321,-3.85132854608463
"月數差-7",-28.7588813607079,9.99509308995414,-2.87730000129893,0.00401473462274885,-48.3499638924761,-9.16779882893979
"月數差-6",-19.470733541751,10.2175509954854,-1.90561647799499,0.0567127894783617,-39.4978491497381,0.556382066236054
"月數差-5",-21.6556267931089,10.4437980845127,-2.073539398011,0.0381335256988651,-42.1262025423688,-1.18505104384902
"月數差-4",-7.57507203093169,10.1583993174636,-0.745695438247753,0.455859251040404,-27.4862462068992,12.3361021450359
"月數差-3",-7.2523472068723,10.0369710373663,-0.722563329103253,0.46995575858787,-26.9255134487799,12.4208190350353
"月數差-2",-1.18291136735293,9.61034485380648,-0.123087296590028,0.902039076457217,-20.0198604077685,17.6540376730627
"月數差0",-1.93265343535199,11.0476303204079,-0.174938279006482,0.861129715031146,-23.5867826605325,19.7214757898285
"月數差1",-5.52786247784603,10.3714707166217,-0.532987329269211,0.594047646232029,-25.8566715200923,14.8009465644002
"月數差2",-32.0135567508887,9.8664479027786,-3.24468917956512,0.00117751558413357,-51.3524857052376,-12.6746277965398
"月數差3",-4.73170705987956,10.0729160121061,-0.469745509065377,0.638541428669061,-24.475327969932,15.0119138501729
"月數差4",1.10762994474961,10.0923413743934,0.109749552027631,0.912608985411979,-18.6740660359756,20.8893259254748
"月數差5",-9.15629758049643,10.2196856606467,-0.895947085315445,0.37029066606963,-29.1875972817156,10.8750021207228
"月數差6",-20.1392260320343,10.0262238202021,-2.00865514207405,0.0445857140138438,-39.7913269755445,-0.487125088524152
"月數差7",-3.45637054346334,10.349703216122,-0.33395842096025,0.738414064957016,-23.7425137600928,16.8297726731662
"月數差8",-5.77153762403079,10.5696068178698,-0.546050361520825,0.585036765164631,-26.4887073025552,14.9456320544936
"月數差9",-8.30391142674262,9.26537265077142,-0.896230701098812,0.370139206378743,-26.4646907866959,9.85686793321062
"月數差10",2.63824688115704,9.45727310805206,0.278964861330989,0.780274370126412,-15.8986708161417,21.1751645784558
"月數差11",0.832465827238484,9.33586650647325,0.0891685658381333,0.928948744946094,-17.466486427415,19.131418081892
"月數差12",0.957975179811616,9.56815447837,0.100121207488574,0.920248996034005,-17.7962777696538,19.712228129277
"月數差13",8.82197808018776,9.09295966994483,0.970198747207385,0.331957925217334,-9.00085976121009,26.6448159215856
"月數差14",3.96385868809681,9.55697629800859,0.41476075324397,0.678321030366321,-14.7684842449191,22.6962016211127
"月數差15",12.4849658344937,9.31114498135605,1.34086257484903,0.17997869071556,-5.76553049938711,30.7354621683745
"月數差16",3.08303763589536,9.4578047381924,0.325978144108375,0.744443940528581,-15.4549220937149,21.6209973655056
"月數差17",-12.4065573502822,9.68529211661727,-1.28096883407327,0.20021789333328,-31.3904082752568,6.57729357469232
"月數差18",-1.39449122861749,9.55786219170712,-0.145899909482626,0.88400171770135,-20.1285705753322,17.3395881180972
"月數差19",15.5173088955358,11.9842938268045,1.29480377565754,0.195401293643589,-7.97274640788748,39.0073641989591
"到學校距離",0.203939263814447,0.0239370872494308,8.51980283521323,1.69770784460926e-17,0.157020896206138,0.250857631422756
"到捷運站距離",-0.131992551696848,0.0054420443827288,-24.2542218354093,2.70542843516767e-128,-0.142659339858205,-0.12132576353549
"到醫療機構距離",-0.23713035303242,0.0170520641025476,-13.9062550789375,8.8321845264064e-44,-0.270553593032634,-0.203707113032207
"I(到學校距離^2)",-0.000203006172434863,2.9748909923503e-05,-6.82398692781945,9.08105979324441e-12,-0.000261316119555541,-0.000144696225314184
"I(到捷運站距離^2)",3.42068865221783e-05,1.94024889030156e-06,17.6301538906494,4.24329872531214e-69,3.04038627984399e-05,3.80099102459168e-05
"I(到醫療機構距離^2)",0.000103312179104094,1.19143324965936e-05,8.67125196763071,4.55967072328991e-18,7.99592529081093e-05,0.000126665105300078
"屋齡",-1.82856407227162,0.0938300748484394,-19.4880380861385,6.88619658164427e-84,-2.01247759101266,-1.64465055353057
"房間數",-23.6029255141091,1.1412378495926,-20.6818635769352,3.83608452535974e-94,-25.8398316337948,-21.3660193944234
"衛浴數",14.8421185724002,1.34958306391421,10.9975584084121,4.63322269003062e-28,12.1968412397465,17.487395905054
"總樓層數",4.17066955935947,0.254550231859564,16.3844657649357,5.52298310469623e-60,3.67173327572909,4.66960584298986
"租賃面積",0.00186707296856569,0.00559067683955176,0.333961883712704,0.738411451969509,-0.00909104521866631,0.0128251911557977
"是否為一樓TRUE",100.441176799431,4.72762474677548,21.2455899483008,3.45929896106051e-99,91.174701163862,109.707652435001
"土地使用分區住",30.7728404294817,7.07231956393033,4.35116656583603,1.36014854276447e-05,16.9105987253743,44.6350821335891
"土地使用分區其他",71.496741570348,7.86752361101271,9.08757890097325,1.09469694238268e-19,56.0758442363451,86.9176389043509
"土地使用分區商",77.0624546940335,7.14860856965898,10.7800635526628,4.98276993977612e-27,63.0506811952699,91.074228192797
"土地使用分區農",114.797420597805,120.206074671444,0.955005151874206,0.339585411757255,-120.81490522186,350.409746417469
"有無附傢俱無",-10.4467689021473,3.43989214623569,-3.03694664194031,0.00239262943002844,-17.1891984454017,-3.70433935889294
"有無管理組織無",13.9976543884754,2.68569491644748,5.21193017969103,1.88544980754422e-07,8.73350424102398,19.2618045359268
"是否為店面TRUE:月數差-17",10.4332008954799,53.5506544575245,0.194828634704275,0.845528873948424,-94.5298326316422,115.396234422602
"是否為店面TRUE:月數差-16",-0.997298940577615,36.6957791268485,-0.0271774837408463,0.97831841688168,-72.9235962718338,70.9289983906786
"是否為店面TRUE:月數差-15",121.028949549816,35.6303716251986,3.39679167040237,0.000682995073564532,51.1909255449746,190.866973554657
"是否為店面TRUE:月數差-14",-17.8280072955057,32.4858389084538,-0.54879319403589,0.58315285892804,-81.5025269264343,45.8465123354229
"是否為店面TRUE:月數差-13",29.6895235360916,35.949899614908,0.825858315436845,0.408893276967093,-40.7747977089319,100.153844781115
"是否為店面TRUE:月數差-12",-16.590799071097,30.6825222744462,-0.540724746247952,0.588702703193835,-76.7306917916207,43.5490936494267
"是否為店面TRUE:月數差-11",36.6254277974508,31.618882182956,1.15834037349978,0.246737528097009,-25.349795928193,98.6006515230947
"是否為店面TRUE:月數差-10",23.213330668847,32.0419458317688,0.724466946880345,0.468786689416163,-39.5911274406581,86.0177887783521
"是否為店面TRUE:月數差-9",50.419576086325,34.1833608761538,1.47497422120063,0.140233548189981,-16.5822054989846,117.421357671635
"是否為店面TRUE:月數差-8",0.165157386438008,33.1533379766414,0.00498162165614732,0.996025301855638,-64.8177071710511,65.1480219439271
"是否為店面TRUE:月數差-7",62.1303799837435,32.357555265358,1.92011972085729,0.0548554804226332,-1.29269472148543,125.553454688972
"是否為店面TRUE:月數差-6",74.4354088604793,34.9844505136365,2.12767123015025,0.0333752567260844,5.86343547585163,143.007382245107
"是否為店面TRUE:月數差-5",0.0563267874301686,34.4193489928892,0.00163648613580127,0.998694288154064,-67.4080080357403,67.5206616106006
"是否為店面TRUE:月數差-4",-56.4572293612878,35.9282925420944,-1.57138637454427,0.116107072485663,-126.879199230196,13.9647405076203
"是否為店面TRUE:月數差-3",-23.2247973837254,32.9263106807061,-0.705356807476595,0.480595561077842,-87.7626725397548,41.3130777723041
"是否為店面TRUE:月數差-2",9.05857362983966,30.7200842209712,0.294874635260791,0.768092385504598,-51.1549431367838,69.2720903964631
"是否為店面TRUE:月數差0",-21.8031444359206,45.6213419111282,-0.477915456287843,0.632715050044849,-111.224169987873,67.6178811160314
"是否為店面TRUE:月數差1",5.96104579648674,37.4561927884717,0.159147135699318,0.873554389293948,-67.4557155723797,79.3778071653532
"是否為店面TRUE:月數差2",-23.0288785628638,37.3196079155331,-0.617071824950196,0.537193632358027,-96.1779240141045,50.1201668883769
"是否為店面TRUE:月數差3",56.6914982259449,35.3978005262285,1.60155425995857,0.109268332839685,-12.6906701351896,126.073666587079
"是否為店面TRUE:月數差4",74.5065742188048,33.5805784208601,2.21874004923399,0.0265144127513127,8.68628846590832,140.326859971701
"是否為店面TRUE:月數差5",-71.2187622943949,36.2217042872286,-1.96619026343015,0.0492889837145657,-142.215839734886,-0.221684853903355
"是否為店面TRUE:月數差6",57.7848179393769,34.2984642505411,1.68476400334645,0.0920480622802066,-9.44257432179256,125.012210200546
"是否為店面TRUE:月數差7",57.1496432910234,36.8151370308287,1.55234090920718,0.120594821390352,-15.01060389209,129.309890474137
"是否為店面TRUE:月數差8",107.05621008385,35.3119064482491,3.03173124455188,0.00243433823830304,37.8424001317406,176.270020035959
"是否為店面TRUE:月數差9",94.1854995972201,34.7124404165611,2.7133067703383,0.00666663947803896,26.1466850549682,162.224314139472
"是否為店面TRUE:月數差10",62.8593176720176,32.7557629278773,1.91903079193799,0.0549931466677616,-1.34427194297627,127.062907287011
"是否為店面TRUE:月數差11",9.65464463959945,38.6580444784988,0.249744775501235,0.802787022577862,-66.1178302217138,85.4271195009127
"是否為店面TRUE:月數差12",24.471498635232,32.6445700476867,0.749634582397145,0.453482700274554,-39.5141451464261,88.45714241689
"是否為店面TRUE:月數差13",86.280441515981,31.8314402815536,2.71054155114623,0.00672246596123469,23.8885890291096,148.672294002852
"是否為店面TRUE:月數差14",98.6824768836461,34.3762447870825,2.87065901161862,0.00410001340512709,31.3026293229578,166.062324444334
"是否為店面TRUE:月數差15",-45.4799142362827,33.3553538707697,-1.36349667919842,0.17273975216672,-110.858744095843,19.898915623278
"是否為店面TRUE:月數差16",31.3898768335917,35.2231878965503,0.891170808439686,0.372847127653538,-37.6500385431706,100.429792210354
"是否為店面TRUE:月數差17",-15.3891222871221,35.5408409400929,-0.432998260031657,0.66502020866767,-85.0516598782552,54.273415304011
"是否為店面TRUE:月數差18",70.4395642221468,36.0282466032518,1.95512051968105,0.0505812817107678,-0.178322607603718,141.057451051897
"是否為店面TRUE:月數差19",76.3742413984625,47.7744570060532,1.59864174675571,0.109914351813316,-17.2670405478464,170.015523344771
