"coef","estimate","se","t_value","lower","upper","NA"
"季數差-18",-41.044979196642,7.98774229304021,-5.13849567134945,2.77737815003358e-07,-56.700955113687,-25.3890032795971
"季數差-17",-28.5363292761193,7.50639201246889,-3.80160391686412,0.000143892309145625,-43.2488585816162,-13.8237999706224
"季數差-16",-36.7443252806272,7.58019496698715,-4.84741163527509,1.25368058475699e-06,-51.601508386429,-21.8871421748253
"季數差-15",-36.8496768025927,7.92123590576506,-4.65201102971489,3.29353638514186e-06,-52.3753001920634,-21.324053413122
"季數差-14",-32.653541458717,7.80283323620591,-4.18483139011627,2.85748727077295e-05,-47.9470956006924,-17.3599873167416
"季數差-13",-12.9180046952536,7.51870077633895,-1.71811661077217,0.0857800638549444,-27.6546591795118,1.81864978900456
"季數差-12",-20.3075229237342,7.70977005231508,-2.63399852212664,0.00844056489468225,-35.4186732133685,-5.19637263409981
"季數差-11",-17.6607198806752,7.79225701319611,-2.26644473491659,0.023427407622814,-32.9335446241973,-2.38789513715308
"季數差-10",-21.2131058355736,7.95375886122704,-2.66705418226635,0.00765381007621167,-36.8024742219137,-5.62373744923344
"季數差-9",-13.119378513514,7.34014922298858,-1.78734493195663,0.0738863686125389,-27.5060719303451,1.26731490331712
"季數差-8",-20.1891556306136,7.58168410766654,-2.66288536213194,0.0077492697267862,-35.0492574523377,-5.32905380888949
"季數差-7",-9.84952327050943,7.70662702568362,-1.27805890147327,0.201233178390052,-24.9545132275437,5.25546668652483
"季數差-6",-12.6593985633829,7.84060827533565,-1.61459393440249,0.106403466605924,-28.026991786889,2.70819466012326
"季數差-5",-5.45953134833911,7.47775587727981,-0.730102912951088,0.465329886641426,-20.1159338251991,9.19687112852089
"季數差-4",-14.0067816473782,7.38781109817761,-1.89593121172702,0.0579735290241152,-28.4868923456821,0.473329050925669
"季數差-3",-12.8481002725784,7.5593409710037,-1.69963232533913,0.0892048443161844,-27.6644095435827,1.96820899842595
"季數差-2",-4.71693345487612,7.62038904879884,-0.618988535187666,0.535926059922739,-19.652896966175,10.2190300564228
"季數差-1",3.69606194996719,7.3138063893311,0.505354086944215,0.613311857272543,-10.6389995095226,18.0311234094569
"季數差1",8.47102752016396,7.52181841885132,1.12619409941268,0.260087488135275,-6.27173754381761,23.2137925841455
"季數差2",7.39629542479935,7.63708910792257,0.968470489250489,0.332813018960316,-7.57240020452019,22.3649910541189
"季數差3",11.8480002571117,6.99435965090363,1.69393637851908,0.0902821177895809,-1.86094555416081,25.5569460683842
"季數差4",27.5287704461791,7.02366026331364,3.91943365910918,8.88472670318774e-05,13.7623954308315,41.2951454615267
"季數差5",25.4096605110221,7.08344931868265,3.58718745174106,0.000334506899317648,11.5260989394964,39.2932220825478
"季數差6",27.2527974594823,8.59737401705048,3.16989785548867,0.0015256254765331,10.401943285325,44.1036516336397
"到學校距離",0.0172832307300366,0.00864585164824938,1.99902004258147,0.0456103010973876,0.000337360392522679,0.0342291010675505
"到捷運站距離",-0.102396603369897,0.00658586711411135,-15.5479303781417,2.05562995630773e-54,-0.115304903756756,-0.0894883029830369
"屋齡",-2.8675176979241,0.0772487404621308,-37.1205754394122,1.65502547581379e-298,-3.01892523912018,-2.71611015672802
"總樓層數",2.2371861850576,0.200194041656902,11.1750887615914,5.73510087627516e-29,1.84480583777884,2.62956653233636
"租賃面積",-0.0128936352202701,0.00265909275599535,-4.84888509105194,1.24440874880084e-06,-0.0181054573624698,-0.00768181307807039
"是否為一樓TRUE",161.462309577739,3.15425263562163,51.1887690143495,0,155.279974008075,167.644645147402
"土地使用分區住",-27.0870582469807,6.4063601840618,-4.22815100442991,2.35938094946577e-05,-39.6435250279605,-14.5305914660009
"土地使用分區其他",22.9409798923431,6.79909065014548,3.37412472826087,0.000740936320891741,9.61476134755725,36.267198437129
"土地使用分區商",15.7064947402021,6.63425335534557,2.36748491486937,0.0179123328347397,2.70335731432849,28.7096321660757
"土地使用分區農",17.0965886102243,60.8041640438733,0.281174634649829,0.778577345115364,-102.079580700642,136.272757921091
"有無車位TRUE",-43.7582943917471,2.5385731105596,-17.2373583450197,1.95160910623485e-66,-48.7338980134623,-38.7826907700318
"村里士林區仁勇里",654.783187788782,28.0123240927688,23.3748255096695,2.39804902346686e-120,599.879028980483,709.687346597081
"村里士林區公館里",333.672084716283,72.4804558118714,4.60361460173973,4.15997345378053e-06,191.610382045202,475.733787387364
"村里士林區天山里",29.0889988948603,15.6332054554931,1.8607187743854,0.0627883695607048,-1.55208579945572,59.7300835891764
"村里士林區天母里",40.5855925036093,20.8814973662572,1.94361504789366,0.0519461581754905,-0.342145007753238,81.5133300149719
"村里士林區天玉里",12.822665576814,15.0518400487835,0.851900201919188,0.394272592963614,-16.6789428459179,42.324273999546
"村里士林區天和里",84.9734622962221,22.5463631215119,3.76883233177184,0.000164156444024943,40.7825876914043,129.16433690104
"村里士林區天祿里",15.8057944660261,17.4727831894684,0.904595123434769,0.365683239965048,-18.4408628224062,50.0524517544584
"村里士林區天壽里",6.70616237785403,16.7787835794591,0.399681082129449,0.689392728160016,-26.1802555861059,39.5925803418139
"村里士林區天福里",60.0006347723333,15.203223020849,3.94657334764157,7.93601363139049e-05,30.2023157049713,89.7989538396953
