"coef","estimate","se","t_value","p_value","lower","upper"
"是否為店面FALSE",548.612201490426,28.8110809583463,19.0417083719831,4.49626219389082e-80,492.139822550204,605.084580430649
"是否為店面TRUE",709.549632782518,33.0439397035164,21.472912708015,4.7788090579447e-101,644.780459862116,774.31880570292
"季數差-6",-6.17652482146732,8.48506253699015,-0.72792920435661,0.466666145432068,-22.8080308594795,10.4549812165448
"季數差-5",-2.73502447640018,6.23449654021671,-0.438692115515252,0.660889768175701,-14.9552133554513,9.48516440265089
"季數差-4",-6.86843259796211,6.16718308848545,-1.11370661441622,0.265419552690359,-18.9566808962541,5.21981570032985
"季數差-3",-10.0612758086389,6.30256842175563,-1.59637708555589,0.110421723955634,-22.4148918609014,2.29234024362373
"季數差-2",3.51167930823915,6.37561034628954,0.550798922378132,0.581778179779305,-8.98510566041243,16.0084642768907
"季數差-1",9.26060577900301,6.07242034455868,1.52502713144705,0.127269439416645,-2.6418987913051,21.1631103493111
"季數差1",5.16005465996143,6.28040701940167,0.821611504480648,0.411308636669156,-7.15012299742145,17.4702323173443
"季數差2",8.94399990852653,6.35793944378139,1.40674506066184,0.159519811418817,-3.51814845957199,21.4061482766251
"季數差3",13.5634170719657,5.77185887164262,2.34992181437479,0.0187878128810309,2.25004074081966,24.8767934031117
"季數差4",23.2733302556652,5.79474839358516,4.01627968548712,5.9357749550116e-05,11.9150883480152,34.6315721633152
"季數差5",21.4560885663079,5.87456375833408,3.65237138432087,0.000260547361309727,9.94140117402401,32.9707759585917
"季數差6",22.9992818658795,7.09256250763971,3.24273234689238,0.00118599326999332,9.09720446143506,36.9013592703239
"到學校距離",-0.0104533079199818,0.0128840584059065,-0.811336582826229,0.417182854039618,-0.0357072520409342,0.0148006362009706
"到捷運站距離",-0.106921619562359,0.0100239775321899,-10.6665861150429,1.74210746198109e-26,-0.126569541086182,-0.0872736980385357
"屋齡",-2.78616362425077,0.108036131804545,-25.7891834677254,4.11481548348485e-144,-2.99792441806904,-2.57440283043249
"總樓層數",0.754316340092863,0.338575814215325,2.2279096982785,0.02589852371159,0.0906764819422702,1.41795619824346
"租賃面積",-0.229691572417403,0.0104125057019151,-22.0592025582427,1.83805549381613e-106,-0.250101045028511,-0.209282099806295
"是否為一樓TRUE",116.04237506841,4.58521377010839,25.307953104587,6.02043590569023e-139,107.054932704763,125.029817432056
"土地使用分區住",39.8600487134992,16.4596354920684,2.42168477744887,0.0154583033049644,7.5976433539131,72.1224540730853
"土地使用分區其他",83.7941936388469,17.1696330602706,4.88037183699291,1.06768523188735e-06,50.1401274881882,117.448259789506
