"coef","estimate","se","t_value","p_value","lower","upper"
"月一月",430.031254537761,13.159293011383,32.678902594978,7.2478656154171e-229,404.238120838175,455.824388237348
"月七月",419.197313465697,12.6292239157718,33.1926424190002,6.99317625454078e-236,394.443152227724,443.951474703671
"月九月",415.382826519943,13.5078071046747,30.7513146509317,1.96704900013112e-203,388.906580847951,441.859072191935
"月二月",428.370053981019,11.0697221527427,38.6974531131195,3.60520788714778e-317,406.672625155931,450.067482806108
"月八月",417.224532775711,12.70866823165,32.8299177514639,6.43079272086994e-231,392.314655128098,442.134410423324
"月十一月",407.875857979828,12.8878829500252,31.648010737018,4.34270425239324e-215,382.614706963047,433.137008996609
"月十二月",411.978651644184,13.2882815636015,31.0031548979705,1.12494827886007e-206,385.932691370236,438.024611918132
"月十月",406.211753195455,13.5450362346735,29.9897132911026,8.96081718772122e-194,379.662535827586,432.760970563323
"月三月",441.179383268685,10.4186609708511,42.3451136862018,0,420.758079847645,461.600686689726
"月五月",422.91448085662,11.216604096146,37.7043245202827,1.08719868963244e-301,400.929153160294,444.899808552945
"月六月",429.343503867947,12.6979403693263,33.8120586000772,1.79710035294685e-244,404.45465358001,454.232354155884
"月四月",437.933124307546,10.3671401419224,42.2424234950429,0,417.6128053108,458.253443304292
"是否為店面TRUE",138.203569460996,13.5208848436833,10.2214885385672,1.79809262831957e-24,111.701690506848,164.705448415144
"季數差-6",-17.873257430892,10.3466028194276,-1.72745177744058,0.0841003390169944,-38.153321840672,2.40680697888804
"季數差-5",-11.8965007789204,5.80529902291828,-2.04924857995345,0.0404494333319468,-23.275292461322,-0.517709096518844
"季數差-4",-15.0998300508106,8.47874502333715,-1.78090389665563,0.0749416961649239,-31.7187626790655,1.51910257744418
"季數差-3",-1.93063527780526,9.756566591701,-0.197880602736568,0.843140275986969,-21.0541874573167,17.1929169017062
"季數差-2",3.10574645583933,9.01609097583363,0.344467071612725,0.730498288430257,-14.5664217819337,20.7779146936124
"季數差0",0.694512330205437,8.74011020857436,0.07946265134324,0.936665347193577,-16.4367143218552,17.825738982266
"季數差1",22.5397958304296,9.71600791787968,2.3198618219476,0.0203572929566697,3.49574148531148,41.5838501755478
"季數差2",9.7222626774906,9.23009752643835,1.05332177148102,0.292204902614187,-8.36937335141381,27.813898706395
"季數差3",1.40983065960853,5.39736837142065,0.261207048063211,0.793935243929549,-9.16938844506138,11.9890497642784
"季數差4",20.2150680313639,8.3513765118639,2.42056719663477,0.0155042116264293,3.84578658442288,36.5843494783048
"季數差5",28.2073440445249,9.49239220636608,2.97157380682265,0.00296592225335377,9.60159211728051,46.8130959717693
